,,,,Marketwise Price & Arrival Report (26-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 26 Mar, 2026","Price on 25 Mar, 2026","Price on 24 Mar, 2026","Arrival on 26 Mar, 2026","Arrival on 25 Mar, 2026","Arrival on 24 Mar, 2026"
Oil Seeds,Copra,12100.00,15450.00,15627.36,15543.21,16.00,21.20,16.20
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,12766.67,12766.67,12100.00,3.00,3.00,3.00
Pulses,Bengal Gram(Gram)(Whole),5875.00,8600.00,8600.00,8000.00,1.00,1.00,2.00
Pulses,Black Gram(Urd Beans)(Whole),7800.00,13050.00,13150.00,12520.00,4.00,4.00,5.00
Pulses,Green Gram(Moong)(Whole),8768.00,13350.00,13350.00,12333.33,2.00,2.00,3.00
Vegetables,Onion,-,2563.54,2472.26,2378.54,280.05,412.45,372.76
Vegetables,Potato,-,2688.56,2595.75,2613.49,115.67,188.92,213.89
Vegetables,Tomato,-,2209.36,2445.18,2542.84,219.69,340.23,326.30

