,,,,Marketwise Price & Arrival Report (26-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 26 Mar, 2026","Price on 25 Mar, 2026","Price on 24 Mar, 2026","Arrival on 26 Mar, 2026","Arrival on 25 Mar, 2026","Arrival on 24 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,1833.21,1786.90,1861.00,45.37,72.19,29.26
Cereals,Barley(Jau),2150.00,2201.69,2073.88,2121.00,108.72,282.45,233.37
Cereals,Jowar(Sorghum),3699.00,3240.31,2383.61,-,34.97,4.24,-
Cereals,Maize,2400.00,1628.36,1668.86,1691.25,16880.86,14306.56,12484.03
Cereals,Paddy(Common),2369.00,3728.23,3809.37,3908.12,3559.79,4825.10,3565.46
Cereals,Wheat,2585.00,2287.61,2305.49,2307.65,65928.62,87828.24,69085.01
Fibre Crops,Cotton,7710.00,7329.26,7625.80,7551.02,443.70,298.27,342.91
Oil Seeds,Groundnut,7263.00,6790.68,6381.43,6847.54,62.32,65.02,108.75
Oil Seeds,Mustard,6200.00,6553.54,6416.50,6431.26,5759.13,9372.81,8073.16
Oil Seeds,Niger Seed(Ramtil),9537.00,-,-,9100.00,-,-,2.00
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,5210.00,10500.00,7212.99,0.04,0.75,0.38
Oil Seeds,Soyabean,5328.00,5361.80,5352.27,5349.30,4536.64,8515.19,9845.55
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7508.84,7420.53,7189.93,562.18,914.16,335.58
Pulses,Bengal Gram(Gram)(Whole),5875.00,5247.46,5207.77,5222.55,5030.71,9421.10,7588.30
Pulses,Black Gram(Urd Beans)(Whole),7800.00,8216.62,8041.04,8286.97,192.00,283.66,298.46
Pulses,Green Gram(Moong)(Whole),8768.00,7393.66,6902.74,7383.58,88.14,217.69,144.64
Pulses,Lentil(Masur)(Whole),7000.00,6511.54,6500.75,6542.15,935.91,2476.22,1941.72
Vegetables,Onion,-,1097.92,1018.43,1102.38,762.58,1023.93,1173.53
Vegetables,Potato,-,688.67,742.16,574.75,740.83,490.31,424.89
Vegetables,Tomato,-,607.25,660.94,620.60,4.00,4.80,4.50

