,,,,Marketwise Price & Arrival Report (04-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 04 Mar, 2026","Price on 03 Mar, 2026","Price on 02 Mar, 2026","Arrival on 04 Mar, 2026","Arrival on 03 Mar, 2026","Arrival on 02 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,3824.08,3900.00,3954.30,201.70,48.00,112.60
Cereals,Jowar(Sorghum),3699.00,5960.06,6100.00,4922.05,70.10,69.50,188.40
Cereals,Maize,2400.00,3110.22,2550.00,3155.00,54.30,0.10,79.00
Cereals,Paddy(Common),2369.00,2748.32,2410.00,2628.73,131.80,2.10,139.30
Cereals,Ragi(Finger Millet),4886.00,5400.00,5100.00,5300.00,0.20,0.20,0.30
Cereals,Wheat,2425.00,3655.73,3650.66,3774.95,1743.60,60.70,1117.20
Fibre Crops,Cotton,7710.00,7949.00,-,-,33.20,-,-
Oil Seeds,Mustard,5950.00,6200.00,-,-,0.30,-,-
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,15222.22,13000.00,13000.00,2.70,0.30,0.30
Oil Seeds,Soyabean,5328.00,-,-,5354.21,-,-,10.30
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,8112.14,-,8094.66,804.60,-,261.50
Pulses,Bengal Gram(Gram)(Whole),5650.00,7351.15,6800.00,7641.91,279.20,3.80,233.30
Pulses,Black Gram(Urd Beans)(Whole),7800.00,9311.18,9900.00,9875.00,7.60,0.60,0.80
Pulses,Green Gram(Moong)(Whole),8768.00,10449.01,9341.46,10388.27,70.60,4.10,35.80
Pulses,Lentil(Masur)(Whole),6700.00,8813.30,7050.00,8488.64,29.70,4.10,13.20

