,,,,Marketwise Price & Arrival Report (05-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 05 Feb, 2026","Price on 04 Feb, 2026","Price on 03 Feb, 2026","Arrival on 05 Feb, 2026","Arrival on 04 Feb, 2026","Arrival on 03 Feb, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,3663.81,3750.86,3655.50,93.80,125.70,71.00
Cereals,Jowar(Sorghum),3699.00,5473.80,5917.99,5881.54,89.50,72.80,78.00
Cereals,Maize,2400.00,3200.00,3246.37,3230.70,2.70,41.30,5.70
Cereals,Paddy(Common),2369.00,2782.66,2718.61,2803.85,799.30,416.10,528.30
Cereals,Ragi(Finger Millet),4886.00,5250.00,5200.00,5100.00,0.30,0.30,0.40
Cereals,Wheat,2425.00,3403.12,3510.18,3508.62,1622.10,1189.30,1130.60
Fibre Crops,Cotton,7710.00,7877.39,7868.88,7899.78,872.30,902.30,1435.80
Oil Seeds,Groundnut,7263.00,8246.18,7712.00,7551.00,1.10,0.90,0.40
Oil Seeds,Mustard,5950.00,8000.00,7927.27,7995.48,11.00,3.30,17.70
Oil Seeds,Safflower,5940.00,8100.00,8000.00,8884.44,2.00,2.50,4.50
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,15391.30,15312.50,16666.67,6.90,4.00,0.90
Oil Seeds,Soyabean,5328.00,5690.29,5662.82,5624.93,4315.20,3775.70,4249.90
Oil Seeds,Sunflower,7721.00,-,-,8110.00,-,-,2.30
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,8299.95,8272.07,8298.55,4116.30,3245.10,3614.10
Pulses,Bengal Gram(Gram)(Whole),5650.00,6328.00,6444.10,6709.25,276.20,248.00,260.20
Pulses,Black Gram(Urd Beans)(Whole),7800.00,9274.14,9270.77,10142.86,2.90,6.50,0.70
Pulses,Green Gram(Moong)(Whole),8768.00,10070.94,10360.79,10436.49,27.70,80.60,82.90
Pulses,Lentil(Masur)(Whole),6700.00,8437.91,8285.82,8876.41,36.80,33.50,49.60

