,,,,Marketwise Price & Arrival Report (17-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 17 Jan, 2026","Price on 16 Jan, 2026","Price on 15 Jan, 2026","Arrival on 17 Jan, 2026","Arrival on 16 Jan, 2026","Arrival on 15 Jan, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2679.57,2676.89,2564.18,94.87,172.44,68.15
Cereals,Jowar(Sorghum),3699.00,4013.82,4389.69,4775.39,40.36,46.93,8.94
Cereals,Maize,2400.00,-,2250.00,1753.44,-,0.30,1.60
Cereals,Paddy(Common),2369.00,2353.34,2377.84,2037.00,136.60,141.30,0.30
Cereals,Wheat,2425.00,2600.31,2575.11,2628.87,367.12,873.78,276.23
Fibre Crops,Cotton,7710.00,7763.33,7741.35,7776.52,4231.38,4256.92,2248.45
Oil Seeds,Groundnut,7263.00,6286.62,6300.85,6294.99,743.67,1372.58,707.34
Oil Seeds,Mustard,5950.00,6191.01,6235.49,6230.11,64.50,59.47,27.51
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,9224.77,9247.77,8889.60,67.89,76.69,38.58
Oil Seeds,Soyabean,5328.00,4919.70,4882.33,4910.74,399.60,359.60,246.00
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7155.19,6762.80,6757.39,432.55,187.95,113.60
Pulses,Bengal Gram(Gram)(Whole),5650.00,7459.61,7263.42,5958.13,100.20,66.50,137.15
Pulses,Black Gram(Urd Beans)(Whole),7800.00,6580.14,6370.91,6277.29,61.60,67.63,65.81
Pulses,Green Gram(Moong)(Whole),8768.00,7090.12,7206.68,7433.42,58.10,46.20,38.25
Vegetables,Onion,-,1308.62,1301.10,1121.22,4486.55,3031.90,3363.91
Vegetables,Potato,-,1181.51,1199.21,1223.58,1910.59,1685.44,1416.40
Vegetables,Tomato,-,2442.88,2261.75,2843.10,648.18,661.73,414.80

