,,,,Marketwise Price & Arrival Report (04-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 04 Mar, 2026","Price on 03 Mar, 2026","Price on 02 Mar, 2026","Arrival on 04 Mar, 2026","Arrival on 03 Mar, 2026","Arrival on 02 Mar, 2026"
Cereals,Maize,2400.00,-,-,2500.00,-,-,0.30
Cereals,Paddy(Common),2369.00,2369.00,2369.00,-,1.00,1.00,-
Fibre Crops,Cotton,7710.00,-,-,7500.00,-,-,16.00
Vegetables,Onion,-,-,1779.49,1850.00,-,7.80,4.80
Vegetables,Potato,-,-,933.33,1581.97,-,10.50,206.30
Vegetables,Tomato,-,1986.05,1484.16,1741.81,2.15,10.10,9.93

