,,,,Marketwise Price & Arrival Report (17-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 17 Jan, 2026","Price on 16 Jan, 2026","Price on 15 Jan, 2026","Arrival on 17 Jan, 2026","Arrival on 16 Jan, 2026","Arrival on 15 Jan, 2026"
Cereals,Paddy(Common),2369.00,2369.00,2369.00,2369.00,1.20,1.00,1.00
Cereals,Ragi(Finger Millet),4886.00,4886.00,4886.00,4886.00,0.08,0.11,0.11
Fibre Crops,Cotton,7710.00,-,7890.00,-,-,22.00,-
Vegetables,Onion,-,2400.00,2406.76,2396.77,5.50,7.40,6.20
Vegetables,Potato,-,2040.27,2007.82,1478.45,570.70,659.80,11.60
Vegetables,Tomato,-,3154.57,3285.12,3737.45,16.95,11.96,36.85

