,,,,Marketwise Price & Arrival Report (17-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 17 Mar, 2026","Price on 16 Mar, 2026","Price on 15 Mar, 2026","Arrival on 17 Mar, 2026","Arrival on 16 Mar, 2026","Arrival on 15 Mar, 2026"
Cereals,Maize,2400.00,-,-,1935.00,-,-,27.50
Cereals,Wheat,2585.00,-,2470.00,-,-,1.50,-
Fibre Crops,Cotton,7710.00,7353.44,-,-,16.00,-,-
Oil Seeds,Mustard,6200.00,-,6386.00,-,-,13.00,-
Vegetables,Onion,-,1145.14,1111.45,1530.00,577.61,645.39,2.00
Vegetables,Potato,-,317.66,334.73,350.00,1393.45,957.20,0.40
Vegetables,Tomato,-,1464.57,1358.89,1500.00,114.52,155.66,0.30

