,,,,Marketwise Price & Arrival Report (29-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 29 Jan, 2026","Price on 28 Jan, 2026","Price on 27 Jan, 2026","Arrival on 29 Jan, 2026","Arrival on 28 Jan, 2026","Arrival on 27 Jan, 2026"
Cereals,Wheat,2425.00,-,2440.00,-,-,2.50,-
Fibre Crops,Cotton,7710.00,7688.94,7699.23,7607.98,142.00,179.00,109.00
Oil Seeds,Mustard,5950.00,-,-,6390.00,-,-,1.50
Vegetables,Onion,-,1831.48,1638.44,1851.45,430.32,434.64,560.68
Vegetables,Potato,-,348.67,361.54,347.16,796.13,748.28,744.75
Vegetables,Tomato,-,1875.35,1757.09,1783.60,121.86,119.55,115.75

