,,,,Marketwise Price & Arrival Report (17-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 17 Feb, 2026","Price on 16 Feb, 2026","Price on 15 Feb, 2026","Arrival on 17 Feb, 2026","Arrival on 16 Feb, 2026","Arrival on 15 Feb, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,1914.81,1878.60,2230.00,58.50,64.40,0.30
Cereals,Barley(Jau),1980.00,2312.40,2237.79,2350.00,7.34,112.10,0.30
Cereals,Jowar(Sorghum),3699.00,2175.00,3252.70,-,1.70,11.10,-
Cereals,Maize,2400.00,1557.88,1538.61,-,462.28,383.54,-
Cereals,Paddy(Common),2369.00,3950.00,3916.00,-,14500.00,5500.00,-
Cereals,Wheat,2425.00,2462.86,2478.03,2430.00,959.82,618.80,55.10
Fibre Crops,Cotton,7710.00,7355.90,7351.96,-,88.20,182.30,-
Oil Seeds,Groundnut,7263.00,6139.02,6247.98,-,151.70,155.70,-
Oil Seeds,Mustard,5950.00,5934.07,5906.47,5600.00,5318.60,4944.80,30.50
Oil Seeds,Soyabean,5328.00,4871.43,4953.61,-,258.56,255.30,-
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,5935.00,6299.00,-,1.68,4.80,-
Pulses,Bengal Gram(Gram)(Whole),5650.00,4923.47,5204.42,-,22.90,103.60,-
Pulses,Black Gram(Urd Beans)(Whole),7800.00,6417.88,6591.26,-,80.80,105.30,-
Pulses,Green Gram(Moong)(Whole),8768.00,7016.27,6860.24,-,315.70,460.30,-
Pulses,Lentil(Masur)(Whole),6700.00,5555.00,5885.04,-,8.64,7.88,-
Vegetables,Onion,-,1272.61,1195.97,1080.67,477.50,306.40,96.70
Vegetables,Potato,-,573.22,584.94,731.29,437.70,464.50,125.50
Vegetables,Tomato,-,1046.11,938.30,1042.06,158.20,156.40,34.00

