,,,,Marketwise Price & Arrival Report (23-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 23 Jan, 2026","Price on 22 Jan, 2026","Price on 21 Jan, 2026","Arrival on 23 Jan, 2026","Arrival on 22 Jan, 2026","Arrival on 21 Jan, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,1865.66,2122.29,2069.16,1888.90,158.30,117.55
Cereals,Barley(Jau),1980.00,2250.00,2234.93,2299.76,1.50,11.90,8.50
Cereals,Jowar(Sorghum),3699.00,-,2346.95,2122.89,-,4.10,1.90
Cereals,Maize,2400.00,1628.39,1647.68,2372.50,335.50,1034.00,1058.10
Cereals,Paddy(Common),2369.00,3102.97,3140.00,3219.97,20001.50,26500.00,30001.20
Cereals,Wheat,2425.00,2574.43,2566.72,2562.25,767.60,1571.50,1382.90
Fibre Crops,Cotton,7710.00,7593.72,7309.33,7588.66,123.30,384.70,530.10
Oil Seeds,Groundnut,7263.00,6089.03,6119.33,6067.74,402.80,556.60,307.06
Oil Seeds,Mustard,5950.00,6511.39,6468.18,6220.75,413.20,670.30,682.80
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,-,8800.00,8000.00,-,1.40,0.20
Oil Seeds,Soyabean,5328.00,4882.04,4926.34,5657.22,289.10,328.46,376.10
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,6800.00,6200.00,6160.00,7.36,4.48,2.88
Pulses,Bengal Gram(Gram)(Whole),5650.00,4913.26,5252.13,5038.07,20.70,172.00,16.60
Pulses,Black Gram(Urd Beans)(Whole),7800.00,5914.79,5916.63,6163.62,111.00,244.80,159.10
Pulses,Green Gram(Moong)(Whole),8768.00,7102.92,6732.79,6718.77,178.20,637.70,943.30
Pulses,Lentil(Masur)(Whole),6700.00,-,5375.00,5575.69,-,0.30,10.24
Vegetables,Onion,-,1431.42,1295.22,997.86,1060.30,314.20,1025.60
Vegetables,Potato,-,496.57,524.35,501.79,1335.10,538.50,423.30
Vegetables,Tomato,-,1716.67,1757.29,1730.06,217.50,97.40,129.90

