,,,,Marketwise Price & Arrival Report (19-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 19 Feb, 2026","Price on 18 Feb, 2026","Price on 17 Feb, 2026","Arrival on 19 Feb, 2026","Arrival on 18 Feb, 2026","Arrival on 17 Feb, 2026"
Cereals,Maize,2400.00,2300.00,2300.00,-,105.00,28.00,-
Cereals,Paddy(Common),2369.00,2386.36,2370.08,2429.24,135.90,45.10,516.50
Fibre Crops,Cotton,7710.00,7883.51,7871.87,6345.00,1483.33,1321.89,37.77
Oil Seeds,Soyabean,5328.00,-,5409.00,-,-,6.42,-
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7458.00,7558.00,-,3.90,19.40,-
Pulses,Bengal Gram(Gram)(Whole),5650.00,5139.00,-,-,4.30,-,-
Vegetables,Onion,-,1155.34,1129.12,1169.45,177.40,129.20,206.90
Vegetables,Potato,-,1028.14,952.23,1012.98,543.00,435.80,381.30
Vegetables,Tomato,-,704.04,811.44,806.44,332.30,333.80,236.00

