,,,,Marketwise Price & Arrival Report (19-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 19 Mar, 2026","Price on 18 Mar, 2026","Price on 17 Mar, 2026","Arrival on 19 Mar, 2026","Arrival on 18 Mar, 2026","Arrival on 17 Mar, 2026"
Cereals,Maize,2400.00,2318.33,2300.00,2300.00,327.30,102.50,93.60
Cereals,Paddy(Common),2369.00,2372.40,2370.32,2400.01,1210.10,1116.91,48.10
Fibre Crops,Cotton,7710.00,6264.00,6782.90,6715.81,73.35,196.04,237.92
Oil Seeds,Groundnut,7263.00,-,-,6860.00,-,-,1.14
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,-,-,7025.00,-,-,9.60
Pulses,Green Gram(Moong)(Whole),8768.00,-,-,6500.00,-,-,36.10
Vegetables,Onion,-,-,-,1100.00,-,-,99.60
Vegetables,Potato,-,1750.00,1800.00,1042.27,1.80,2.40,230.20
Vegetables,Tomato,-,550.00,550.00,700.00,6.00,8.00,273.00

