,,,,Marketwise Price & Arrival Report (21-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 21 Feb, 2026","Price on 20 Feb, 2026","Price on 19 Feb, 2026","Arrival on 21 Feb, 2026","Arrival on 20 Feb, 2026","Arrival on 19 Feb, 2026"
Cereals,Maize,2400.00,2300.00,2300.00,2300.00,26.20,98.90,105.00
Cereals,Paddy(Common),2369.00,2312.38,2455.40,2386.36,140.10,59.00,135.90
Fibre Crops,Cotton,7710.00,6020.00,7867.83,7883.51,38.74,1496.91,1483.33
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,-,9359.00,-,-,0.36,-
Oil Seeds,Soyabean,5328.00,5289.00,5369.00,-,19.19,18.78,-
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7789.00,7559.00,7458.00,19.34,1.90,3.90
Pulses,Bengal Gram(Gram)(Whole),5650.00,5325.00,5202.00,5139.00,67.26,1.80,4.30
Vegetables,Onion,-,1135.93,1060.00,1155.34,150.30,35.90,177.40
Vegetables,Potato,-,959.29,1212.54,1028.14,385.40,18.50,543.00
Vegetables,Tomato,-,700.21,672.83,704.04,237.90,21.90,332.30

