,,,,Marketwise Price & Arrival Report (25-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 25 Feb, 2026","Price on 24 Feb, 2026","Price on 23 Feb, 2026","Arrival on 25 Feb, 2026","Arrival on 24 Feb, 2026","Arrival on 23 Feb, 2026"
Cereals,Maize,2400.00,2300.00,2300.00,2300.00,137.50,66.00,40.80
Cereals,Paddy(Common),2369.00,2392.36,2382.06,2381.37,119.61,227.10,258.10
Fibre Crops,Cotton,7710.00,6483.31,7578.45,7846.76,73.64,249.39,261.30
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,-,-,9461.00,-,-,0.32
Oil Seeds,Soyabean,5328.00,-,5249.00,5239.00,-,9.80,5.29
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7200.00,7780.15,7446.45,6.70,23.40,15.20
Pulses,Bengal Gram(Gram)(Whole),5650.00,-,5261.12,-,-,90.43,-
Vegetables,Onion,-,1144.19,1074.20,1025.98,107.50,175.70,141.20
Vegetables,Potato,-,937.66,894.94,827.09,308.70,430.80,287.90
Vegetables,Tomato,-,694.51,696.81,598.67,189.40,244.70,232.30

