,,,,Marketwise Price & Arrival Report (12-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 12 Feb, 2026","Price on 11 Feb, 2026","Price on 10 Feb, 2026","Arrival on 12 Feb, 2026","Arrival on 11 Feb, 2026","Arrival on 10 Feb, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2105.61,2005.25,2110.14,1070.40,1009.50,702.00
Cereals,Barley(Jau),1980.00,2272.00,2270.00,2285.00,20.00,20.00,15.00
Cereals,Maize,2400.00,1935.70,1859.86,1983.08,304.20,1014.40,183.80
Cereals,Paddy(Common),2369.00,2189.74,2258.99,2089.11,2781.50,5205.10,3084.20
Cereals,Wheat,2425.00,2470.85,2470.22,2472.63,2702.50,3585.40,2675.60
Oil Seeds,Groundnut,7263.00,6742.42,5596.03,6048.39,49.50,151.00,62.00
Oil Seeds,Mustard,5950.00,6535.51,6557.64,6300.26,156.00,329.40,268.20
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,-,8927.87,-,-,34.80,-
Oil Seeds,Soyabean,5328.00,5550.00,5580.00,5660.00,60.00,55.00,35.00
Pulses,Bengal Gram(Gram)(Whole),5650.00,5453.83,5436.59,5527.27,167.20,61.50,190.50
Pulses,Black Gram(Urd Beans)(Whole),7800.00,7469.31,7400.00,7450.00,29.00,30.00,22.00
Pulses,Green Gram(Moong)(Whole),8768.00,7500.00,-,-,10.00,-,-
Pulses,Lentil(Masur)(Whole),6700.00,7062.77,7047.87,7030.00,4.70,4.70,3.50
Vegetables,Onion,-,1448.06,1474.84,1419.91,99.20,144.70,152.80
Vegetables,Potato,-,622.81,567.38,688.89,1485.00,11348.80,1335.80
Vegetables,Tomato,-,1393.95,1284.34,1292.31,129.80,140.45,155.60

