,,,,Marketwise Price & Arrival Report (27-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 27 Mar, 2026","Price on 26 Mar, 2026","Price on 25 Mar, 2026","Arrival on 27 Mar, 2026","Arrival on 26 Mar, 2026","Arrival on 25 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,1911.19,2640.00,2347.10,310.50,276.00,1287.50
Cereals,Barley(Jau),2150.00,-,-,2100.00,-,-,200.00
Cereals,Jowar(Sorghum),3699.00,5550.00,-,2400.00,89.50,-,1.00
Cereals,Maize,2400.00,1849.78,2375.59,2224.81,46.50,93.20,143.50
Cereals,Paddy(Common),2369.00,2117.06,2360.63,2291.72,721.80,1554.80,1703.40
Cereals,Wheat,2585.00,2348.70,2493.91,2476.59,3160.90,3062.90,5366.80
Oil Seeds,Groundnut,7263.00,-,-,5897.76,-,-,26.80
Oil Seeds,Mustard,6200.00,5944.79,6407.50,6184.32,304.90,625.10,428.50
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,15053.00,-,12373.53,9.80,-,82.80
Pulses,Bengal Gram(Gram)(Whole),5875.00,5820.00,6024.58,5485.14,35.00,111.90,123.50
Pulses,Lentil(Masur)(Whole),7000.00,-,6241.68,6074.19,-,119.00,201.10
Vegetables,Onion,-,1330.00,1288.45,1211.15,74.50,40.70,140.60
Vegetables,Potato,-,652.19,658.97,507.29,529.90,171.20,3719.80
Vegetables,Tomato,-,1315.15,1377.04,1174.96,68.00,30.70,374.60

