,,,,Marketwise Price & Arrival Report (19-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 19 Mar, 2026","Price on 18 Mar, 2026","Price on 17 Mar, 2026","Arrival on 19 Mar, 2026","Arrival on 18 Mar, 2026","Arrival on 17 Mar, 2026"
Cereals,Paddy(Common),2369.00,1915.00,1978.00,2369.00,41.60,99.90,10.80
Cereals,Wheat,2585.00,2600.00,-,-,1.00,-,-
Oil Seeds,Mustard,6200.00,-,-,5750.00,-,-,2.00
Vegetables,Onion,-,1400.00,1516.95,1363.29,56.50,59.00,128.30
Vegetables,Potato,-,736.97,654.32,669.57,320.50,250.20,317.40
Vegetables,Tomato,-,1155.66,1144.52,1192.25,21.20,14.60,20.60

