,,,,Marketwise Price & Arrival Report (21-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 21 Mar, 2026","Price on 20 Mar, 2026","Price on 19 Mar, 2026","Arrival on 21 Mar, 2026","Arrival on 20 Mar, 2026","Arrival on 19 Mar, 2026"
Cereals,Paddy(Common),2369.00,-,-,1915.00,-,-,41.60
Cereals,Wheat,2585.00,-,2600.00,2600.00,-,0.90,1.00
Oil Seeds,Mustard,6200.00,-,5500.00,-,-,3.00,-
Vegetables,Onion,-,-,1199.67,1400.00,-,76.80,56.50
Vegetables,Potato,-,-,844.31,736.97,-,167.80,320.50
Vegetables,Tomato,-,-,1203.06,1155.66,-,36.00,21.20

