,,,,Marketwise Price & Arrival Report (14-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 14 Feb, 2026","Price on 13 Feb, 2026","Price on 12 Feb, 2026","Arrival on 14 Feb, 2026","Arrival on 13 Feb, 2026","Arrival on 12 Feb, 2026"
Cereals,Maize,2400.00,-,2245.00,2275.00,-,24.25,27.25
Cereals,Paddy(Common),2369.00,2372.08,2300.82,2311.10,398.20,460.05,558.25
Cereals,Wheat,2425.00,2589.67,2612.31,2605.98,66.30,40.20,49.30
Oil Seeds,Groundnut,7263.00,-,-,9800.00,-,-,0.20
Oil Seeds,Mustard,5950.00,6665.93,6711.71,6678.30,56.35,64.70,61.30
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,6744.78,6752.17,6746.88,3.35,3.45,3.20
Vegetables,Onion,-,1972.64,1902.58,1911.54,612.54,602.45,822.03
Vegetables,Potato,-,896.23,908.95,911.43,1322.70,1455.05,1515.60
Vegetables,Tomato,-,1988.41,1776.22,1887.04,216.50,157.64,180.98

