,,,,Marketwise Price & Arrival Report (16-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 16 Feb, 2026","Price on 15 Feb, 2026","Price on 14 Feb, 2026","Arrival on 16 Feb, 2026","Arrival on 15 Feb, 2026","Arrival on 14 Feb, 2026"
Cereals,Maize,2400.00,2285.00,2275.00,-,27.25,22.25,-
Cereals,Paddy(Common),2369.00,2322.32,2303.25,2372.08,532.45,456.85,398.20
Cereals,Wheat,2425.00,2588.92,2587.27,2589.67,75.30,76.20,66.30
Oil Seeds,Mustard,5950.00,6710.51,6703.06,6665.93,51.60,56.30,56.35
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,6700.00,6751.43,6744.78,3.80,3.50,3.35
Vegetables,Onion,-,1926.88,1942.13,1972.64,776.65,636.83,612.54
Vegetables,Potato,-,907.50,909.17,896.23,1498.30,1082.75,1322.70
Vegetables,Tomato,-,1932.81,1973.99,1988.28,221.08,204.11,216.56

