brand,model,full_model_name,price,horsepower,engine,gear_box,brakes,steering,clutch,fuel_type,wheel_drive,lifting_capacity,warranty,rent_buy_option
Mahindra,575,Mahindra 575,"₹ 6,83,944",2 WD,1900,8 Forward + 2 Reverse,Dry Disc Brakes/ Oil Immersed (Optional),Mechanical/Power Steering (optional),Dry Type Single /  Dual clutch,47.5 litre,2 WD,1600 kg,2000 Hours Or 2 Years,Buy (New)
,575 DI XP Plus,Mahindra 575 DI XP Plus,"₹ 6,94,002",2 WD,2000,8 Forward + 2 Reverse,Oil Immersed Brakes,Dual Acting Power steering / Manual Steering (Optional),Single / Dual clutch,Diesel,2 WD,1500 Kg,6 Years,Buy (New)
Mahindra,475 DI,Mahindra 475 DI,"₹64,874",2 WD,1900,8 Forward + 2 Reverse,Dry Disc Brakes  / Oil Immersed,Mechanical/Power Steering (optional),Dry Type Single / Dual (Optional),48 litre,2 WD,1500 kg,2000 Hours Or 2 Years,Buy (New)
Mahindra,Yuvo 575 DI,Mahindra Yuvo 575 DI,"₹76,441",2 WD,2000,12 Forward + 3 Reverse,Oil Immersed Brakes,Power Steering,Dry Type Single /  Dual CRPTO clutch,60 litre,2 WD,1500 kg,2000 Hours Or 2 Years,Buy (New)
Mahindra,Yuvo 415 DI,Mahindra Yuvo 415 DI,₹ 7.04,2 WD,2000,12 Forward + 3 Reverse,Oil Immersed Brakes,Mechanical/Power Steering (optional),Dry Type Single / Dual - CRPTO  clutch,60 litre,2 WD,1500 kg,2000 Hours Or 2 Years,Buy (New)
Mahindra,JIVO 225 DI,Mahindra JIVO 225 DI,"₹43,249",2 WD,2300,8 Forward + 4 Reverse,2300 MM,Power Steering,Single clutch,24 litre,2 WD,750 Kg,5 Years,Buy (New)
Mahindra,JIVO 245 DI,Mahindra JIVO 245 DI,"₹53,307",4 WD,2300,8 Forward + 4 Reverse,2300 MM,Power Steering,Single Clutch,23 litre,4 WD,750 kg,5000 hours/ 5 Years,Buy (New)
Mahindra,Yuvraj 215 NXT,Mahindra Yuvraj 215 NXT,"₹30,982",2 WD,2300,6 Forward + 3 Reverse,Dry Disc,Mechanical Steering,Single plate dry clutch,19 litre,2 WD,778 Kg,2000 Hour / 2 Years,Buy (New)
Mahindra,JIVO 305 DI,Mahindra JIVO 305 DI,"₹ 6,36,650",4 WD,2500,8 Forward + 4 Reverse,Oil Immersed Brakes,Power Steering,Single Clutch,35 litre,4 WD,750 Kg,5 Year,Buy (New)
Mahindra,ARJUN NOVO 605 DI–i-4WD,Mahindra ARJUN NOVO 605 DI–i-4WD,₹ 10.01,4 WD,2100,15 Forward + 15 Reverse,"Mechanical, oil immersed multi disc Brakes",Power Steering,Dual Clutch,66 litre,4 WD,2700 kg,2000 hour Or 2 Year,Buy (New)
